Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Location
010001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,true,"1108 ROSS CLARK CIRCLE
DOTHAN, AL 36301
(31.214601, -85.361569)"
010005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,true,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL 35957
(34.221523, -86.159229)"
010006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Acute Care Hospitals,Government - Hospital District or Authority,true,"205 MARENGO STREET
FLORENCE, AL 35631
(34.794895, -87.68504)"
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Acute Care Hospitals,Voluntary non-profit - Private,true,"702 N MAIN ST
OPP, AL 36467
(31.291972, -86.255415)"
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Acute Care Hospitals,Proprietary,false,"101 HOSPITAL CIRCLE
LUVERNE, AL 36049
(31.694473, -86.26623)"
010011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Acute Care Hospitals,Voluntary non-profit - Private,true,"50 MEDICAL PARK EAST DRIVE
BIRMINGHAM, AL 35235
"
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Acute Care Hospitals,Proprietary,true,"200 MED CENTER DRIVE
FORT PAYNE, AL 35968
"
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Acute Care Hospitals,Voluntary non-profit - Private,true,"1000 FIRST STREET NORTH
ALABASTER, AL 35007
(33.255966, -86.813704)"
010018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,Voluntary non-profit - Private,true,"1720 UNIVERSITY BLVD
BIRMINGHAM, AL 35233
(33.503187, -86.802298)"
010019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,2563864556,Acute Care Hospitals,Government - Hospital District or Authority,true,"1300 SOUTH MONTGOMERY AVENUE
SHEFFIELD, AL 35660
(34.747681, -87.698875)"
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,3347742601,Acute Care Hospitals,Government - Hospital District or Authority,true,"126 HOSPITAL AVE
OZARK, AL 36360
(31.451912, -85.631023)"
010022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,2569275531,Acute Care Hospitals,Voluntary non-profit - Private,true,"400 NORTHWOOD DR
CENTRE, AL 35960
(34.162675, -85.657041)"
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Acute Care Hospitals,Government - Hospital District or Authority,true,"2105 EAST SOUTH BOULEVARD
MONTGOMERY, AL 36116
(32.327153, -86.275985)"
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Acute Care Hospitals,Voluntary non-profit - Private,true,"1725 PINE STREET
MONTGOMERY, AL 36106
(32.366605, -86.285278)"
010029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,3347493411,Acute Care Hospitals,Government - Hospital District or Authority,true,"2000 PEPPERELL PARKWAY
OPELIKA, AL 36801
(32.638138, -85.403112)"
010032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,2563572111,Acute Care Hospitals,Government - Hospital District or Authority,true,"209 NORTH MAIN STREET
WEDOWEE, AL 36278
(33.310467, -85.484971)"
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,Acute Care Hospitals,Government - State,true,"619 SOUTH 19TH STREET
BIRMINGHAM, AL 35233
(33.506129, -86.801922)"
